onset	duration	fixation_onset	item_name	item_rank	is_one
4.019061	2	2.01874	ChocolateParaCookies5.	13	1
13.019356	2	11.018879	ChocolateParaSucariotKoftzot2.	5	1
22.019304	2	20.023082	PesekZman.	18	1
31.019301	2	29.019176	BisliBbq.	20	0
40.019471	2	38.019227	Snickers.	44	1
49.019619	2	47.019379	KinderBuenoWhite2.	53	1
58.019667	2	56.019531	ClickXLwhite4.	10	1
67.0199	2	65.019694	KinderBuenoBrown3.	49	1
76.020012	2	74.019756	Halva2.	56	1
85.020167	2	83.019851	Apropo.	11	0
94.020135	2	92.020055	Keifli.	42	0
103.020404	2	101.020081	Twix.	7	1
112.020403	2	110.020311	DoritosNatural.	41	0
121.020581	2	119.020899	Bounty.	17	1
130.020659	2	128.020466	Tictac.	46	0
139.020674	2	137.020509	Twist.	55	1
148.020811	2	146.020658	Egozi.	14	1
157.021093	2	155.020818	BisliPizza3.	21	0
166.021035	2	164.020882	KifkefMaklot2.	57	0
175.014094	2	173.020954	GumiWine2.	9	0
184.021327	2	182.021037	WerthersOriginal.	51	0
193.021433	2	191.021258	BisliGrill.	39	0
202.021506	2	200.021336	HappyHippo.	52	1
211.020327	2	209.019838	Tapuchips.	8	0
220.021882	2	218.021507	Kitkat.	22	1
229.006727	2	227.006342	CrunchBisquitBrown3.	3	1
238.010588	2	236.026311	BisliOnion.	15	0
247.00986	2	245.009399	KinderJoy.	16	1
256.012952	2	254.02193	Hit.	40	0
265.012927	2	263.01238	Mekupelet.	45	1
274.022534	2	272.01534	BambaNugat.	6	0
283.016031	2	281.015499	Loacker.	19	0
292.020367	2	290.019386	BabyDoll.	47	0
301.019087	2	299.018632	ClickBisquit2.	48	0
310.023799	2	308.022452	BambaSweet.	4	0
319.005927	2	317.005701	Shugi.	50	1
328.006847	2	326.006415	Tortit.	12	1
337.008618	2	335.008109	Bamba.	58	0
346.014185	2	344.011294	HispusimShatiah.	54	0
355.011655	2	353.011277	Smarties.	43	0
